sample,task,student,transcript,recording_path,filtered,subtask_name,task_name,len_seconds,garbage_count,non_final_garbage_count,stutter_count,asterisk_count,filler_count,filtered_transcript,content_transcript,filtered_transcript_no_garbage,num_content_tokens,num_content_types,TTR,cefr,task_completion,keep,cefr_bin,subtask_test_train,task_test_train,task_wer_no_garb,task_cer_no_garb,task_prediction,subtask_wer_no_garb,subtask_cer_no_garb,subtask_prediction,infitms,infitmz,wer_task_subs,wer_task_dels,wer_task_ins,cer_task_subs,cer_task_dels,cer_task_ins,wer_subtask_subs,wer_subtask_dels,wer_subtask_ins,cer_subtask_subs,cer_subtask_dels,cer_subtask_ins
1,1,1,potatis är bra men jag tycker att sallad är lite enkel men sås ser bra <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_3hv/recording.wav,False,5_6,5,29.7215625,1,0,0,0,0,potatis är bra men jag tycker att sallad är lite enkel men sås ser bra <garbage>,potatis är bra men jag tycker att sallad är lite enkel men sås ser bra,potatis är bra men jag tycker att sallad är lite enkel men sås ser bra,15,12,0.8,2.82,2.16,1,3,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
2,1,2,<garbage> den mat är jätte god jag tycker <garbage> det har många pommes frites och liten sallad och så liten <garbage> liten bi- biffen och ketsup,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_5pp/recording.wav,False,5_6,5,26.006375,3,2,1,0,0,<garbage> den mat är jätte god jag tycker <garbage> det har många pommes frites och liten sallad och så liten <garbage> liten bi biffen och ketsup,den mat är jätte god jag tycker det har många pommes frites och liten sallad och så liten liten biffen och ketsup,den mat är jätte god jag tycker det har många pommes frites och liten sallad och så liten liten bi biffen och ketsup,22,18,0.8181818181818182,3.17,2.95,1,3,test,eval,9999.0,9999.0,9999,0.21739130434782608,0.14655172413793102,den mat är jätte god jag tycker öö det har många pomes fri och liten sallad och så liten liten och ketsup,0.97,-0.07,9999,9999,9999,9999,9999,9999,1,22,0,4,112,0
3,1,3,mm min mat,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_66u/recording.wav,False,5_6,5,12.260125,0,0,0,0,1,mm min mat,min mat,mm min mat,2,2,1.0,1.09,1.03,1,1,train,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.0,0.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
4,1,4,aa jag har här potatis och ketsup och sallad med tomaten och jag har en en köt <garbage> med sås och de <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_6sn/recording.wav,False,5_6,5,29.7215625,2,1,0,0,1,aa jag har här potatis och ketsup och sallad med tomaten och jag har en en köt <garbage> med sås och de <garbage>,jag har här potatis och ketsup och sallad med tomaten och jag har en en köt med sås och de,aa jag har här potatis och ketsup och sallad med tomaten och jag har en en köt med sås och de,20,13,0.65,3.17,2.95,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.97,-0.07,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
5,1,5,öö jag har potatis och <garbage> sallad tomaten tomatis och sås,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_6y4/recording.wav,False,5_6,5,26.377875,1,1,0,0,1,öö jag har potatis och <garbage> sallad tomaten tomatis och sås,jag har potatis och sallad tomaten tomatis och sås,öö jag har potatis och sallad tomaten tomatis och sås,9,8,0.8888888888888888,2.82,2.95,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
6,1,6,oo det ser trevlig <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_abx/recording.wav,False,5_6,5,18.9475,1,0,0,0,1,oo det ser trevlig <garbage>,det ser trevlig,oo det ser trevlig,3,3,1.0,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
7,1,7,ta till vänster och gå rakt fram och ta till *vänstret*,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_ddy/recording.wav,True,5_6,5,14.11775,0,0,0,1,0,ta till vänster och gå rakt fram och ta till vänstret,ta till vänster och gå rakt fram och ta till *vänstret*,ta till vänster och gå rakt fram och ta till vänstret,11,8,0.7272727272727273,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
8,1,8,jag hade öö pommes frites och och lite sallad och ketsup och joo,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_dsj/recording.wav,False,5_6,5,15.2323125,0,0,0,0,1,jag hade öö pommes frites och och lite sallad och ketsup och joo,jag hade pommes frites och och lite sallad och ketsup och joo,jag hade öö pommes frites och och lite sallad och ketsup och joo,12,9,0.75,3.17,2.95,1,3,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.97,-0.07,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
9,1,9,ää jag har potatis och sallad och ketsup och <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_e8y/recording.wav,False,5_6,5,12.260125,1,0,0,0,1,ää jag har potatis och sallad och ketsup och <garbage>,jag har potatis och sallad och ketsup och,ää jag har potatis och sallad och ketsup och,8,6,0.75,3.85,2.95,1,4,train,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.18,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
10,1,10,det är så bra maa-,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_err/recording.wav,False,5_6,5,7.801875,0,0,1,0,0,det är så bra maa,det är så bra,det är så bra maa,4,4,1.0,2.14,1.03,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.26,1.01,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
11,1,11,det är *moliga* det är min plats är potatis <garbage> och *sam* sås och sallad och sa-,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_fpz/recording.wav,False,5_6,5,29.7215625,1,1,1,2,0,det är moliga det är min plats är potatis <garbage> och sam sås och sallad och sa,det är *moliga* det är min plats är potatis och *sam* sås och sallad och,det är moliga det är min plats är potatis och sam sås och sallad och sa,15,10,0.6666666666666666,2.14,1.67,1,2,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.26,1.01,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
12,1,12,där är så fin <garbage> och jätte bra potatis,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_fs9/recording.wav,False,5_6,5,14.48925,1,1,0,0,0,där är så fin <garbage> och jätte bra potatis,där är så fin och jätte bra potatis,där är så fin och jätte bra potatis,8,8,1.0,2.82,1.67,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
